Section,Dist.(Km),Location,River,Lmax (mm),Lmin (mm),Bmax (mm),Bmin (mm),Dmax (mm),Dmin (mm),Color,Type,Number,Number.1
S-34,52.8,"Char Rajapur , Fatullah",Dhaleshwari,0.46,0.11,0.0,0.0,0.0,0.0,Black,Fiber and Line,18.0,89.0
,,,,0.26,0.14,0.1,0.05,0.0,0.0,"Black, Red, Brown",Fragment and Sheet,43.0,
,,,,0.12,0.04,0.11,0.03,0.0,0.0,"White, Transparent",Film,11.0,
,,,,0.0,0.0,0.0,0.0,0.11,0.02,"Black, Brown",Pellet,14.0,
,,,,0.0,0.0,0.0,0.0,0.18,0.03,White,Foam,3.0,
S-35,54.4,"Moddachar , Narayanganj",Dhaleshwari,0.32,0.11,0.0,0.0,0.0,0.0,Black,Fiber and Line,14.0,86.0
,,,,0.29,0.02,0.11,0.03,0.0,0.0,"Black, Brown, Red, Golden",Fragment and Sheet,38.0,
,,,,0.24,0.05,0.16,0.03,0.0,0.0,"White, Transparent",Film,17.0,
,,,,0.0,0.0,0.0,0.0,0.06,0.03,"Black, Brown ",Pellet,15.0,
,,,,0.0,0.0,0.0,0.0,0.14,0.06,White,Foam,2.0,
S-36,56.0,Char Sayedpur,Dhaleshwari,0.91,0.15,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,19.0,97.0
,,,,0.34,0.09,0.18,0.07,0.0,0.0,"Black, Blue",Fragment and Sheet,37.0,
,,,,1.1,0.16,0.29,0.07,0.0,0.0,"White, Transparent",Film,15.0,
,,,,0.0,0.0,0.0,0.0,0.16,0.07,"Black, Brown",Pellet,23.0,
,,,,0.0,0.0,0.0,0.0,0.16,0.03,White,Foam,3.0,
S-37,57.6,Mirkadim,Dhaleshwari,0.82,0.1,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,17.0,83.0
,,,,0.21,0.09,0.31,0.09,0.0,0.0,"Black, Blue",Fragment and Sheet,34.0,
,,,,1.14,0.06,0.18,0.04,0.0,0.0,"White, Transparent",Film,15.0,
,,,,0.0,0.0,0.0,0.0,0.11,0.04,"Black, Brown",Pellet,17.0,
S-38,59.2,Muktarpur Bridge,Dhaleshwari,0.13,0.05,0.0,0.0,0.0,0.0,Black,Fiber and Line,9.0,66.0
,,,,0.07,0.02,0.05,0.02,0.0,0.0,"Blue, Black, Red",Fragment and Sheet,29.0,
,,,,0.05,0.02,0.04,0.02,0.0,0.0,"White, Transparent",Film,12.0,
,,,,0.0,0.0,0.0,0.0,0.04,0.02,"Black, Dark Red",Pellet,16.0,
